0,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
Jan,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,3,-2.7,-7,-9,-12.5,-16,76,63.4,55,13,10.5,7,30.0,30.0,30.0,0.00
2,7,-0.8,-9,-1,-8.8,-15,79,69.4,57,17,11.6,7,30.0,29.8,29.4,0.00
3,18,14.2,8,11,5.3,-2,81,68.0,59,17,12.6,9,29.5,29.4,29.4,0.00
4,13,6.2,2,-2,-4.1,-6,73,63.1,49,15,11.5,5,29.6,29.6,29.5,0.00
5,11,5.4,0,-4,-5.6,-7,76,61.5,47,20,10.5,6,29.8,29.7,29.6,0.00
6,16,7.6,0,-1,-4.8,-8,72,58.2,39,9,6.5,0,29.9,29.9,29.7,0.00
7,33,25.3,9,31,17.4,-3,92,72.4,56,18,14.7,9,29.7,29.4,29.2,0.00
8,36,33.9,31,33,30.1,28,96,86.3,76,17,12.5,7,29.5,29.4,29.2,0.03
9,34,30.1,28,29,28.3,27,100,92.7,82,10,6.6,3,29.6,29.6,29.4,0.00
10,56,44.9,32,52,43.6,30,100,95.3,84,24,15.5,7,29.5,29.2,29.1,0.00
11,60,52.1,24,58,49.8,18,100,91.9,77,25,16.9,9,29.2,29.1,29.0,0.01
12,25,21.6,16,18,13.7,2,81,71.9,54,29,20.2,12,29.7,29.5,29.2,0.14
13,17,12.3,8,2,-2.2,-7,67,53.3,34,24,10.6,0,30.0,29.9,29.7,0.00
14,22,15.7,7,15,6.5,-2,88,68.8,40,16,9.7,0,30.0,29.8,29.6,0.00
15,24,16.9,9,19,12.3,4,89,82.5,77,18,12.5,7,29.7,29.6,29.5,0.02
16,25,14.4,6,18,8.3,2,87,77.2,60,15,10.9,7,29.9,29.8,29.7,0.01
17,20,14.8,6,10,7.3,2,84,72.8,62,22,12.3,5,29.9,29.8,29.5,0.00
18,33,25.6,17,22,15.5,10,74,65.9,54,20,15.3,10,29.5,29.4,29.3,0.00
19,40,34.8,28,29,23.8,19,73,64.5,54,22,16.0,10,29.3,29.2,29.1,0.00
20,47,40.4,33,37,32.2,27,86,73.3,59,15,9.2,5,29.3,29.3,29.1,0.00
21,48,42.8,39,48,41.7,36,100,96.3,86,10,5.0,0,29.3,29.3,29.2,0.00
22,55,48.6,37,51,46.1,32,100,91.5,73,29,11.8,3,29.1,28.9,28.8,0.40
23,37,32.3,29,34,27.6,22,100,83.3,72,16,11.2,5,29.5,29.1,28.8,0.29
24,30,29.1,28,24,22.4,20,81,76.0,69,10,6.4,0,29.7,29.6,29.5,0.01
25,44,35.5,26,34,28.2,21,84,75.0,60,17,9.0,6,29.7,29.6,29.5,0.00
26,52,46.1,38,34,31.8,30,76,58.8,43,24,17.8,9,29.5,29.4,29.3,0.00
27,51,45.5,37,39,30.0,21,69,56.0,32,21,12.3,6,29.6,29.4,29.3,0.00
28,41,34.9,31,32,27.5,24,85,74.7,67,16,9.2,0,29.7,29.6,29.6,0.00
29,31,25.1,18,24,15.8,9,81,68.0,58,20,14.0,7,29.8,29.7,29.7,0.00
30,31,24.7,16,18,12.7,10,77,61.4,47,20,9.7,0,29.8,29.6,29.3,0.00
31,43,37.6,32,30,24.2,18,70,58.7,49,24,14.3,7,29.3,29.1,29.0,0.00
Feb,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,36,22.5,9,25,6.8,-7,72,52.0,35,24,15.3,8,29.7,29.4,29.1,0.00
2,22,13.9,5,4,-3.6,-7,61,46.5,35,14,10.8,9,29.9,29.8,29.6,0.00
3,41,31.2,22,30,18.1,7,96,61.7,33,21,13.6,8,29.6,29.3,29.1,0.00
4,35,20.7,7,30,14.9,-4,89,78.7,58,22,15.8,7,29.6,29.3,29.1,0.01
5,12,8.4,-1,8,1.9,-8,88,75.3,56,10,7.5,5,29.6,29.6,29.5,0.01
6,21,16.3,6,16,8.8,3,88,73.2,55,9,3.9,0,29.8,29.7,29.6,0.15
7,20,17.2,13,17,11.2,4,92,78.0,64,15,9.4,3,29.8,29.6,29.6,0.05
8,22,17.0,9,19,11.1,4,92,78.0,62,15,7.3,5,29.8,29.7,29.6,0.00
